S1,DateTime,N1,AC,PS,TI,U,LN,R2,Note1
CD,2018-05-01 14:20:00,Y,1050,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1052,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1055,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,C101,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,N,1930,C_038,15-91-SR,M/L,Bob,,Y
CD,2018-05-01 14:20:00,Y,1085,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-01 14:20:00,N,100,C_038,15-91-SR,N,Bob,,Y
CD,2018-05-01 14:20:00,Y,1095,C_038,15-91-SR,U/L,Bob,,Y
CD,2018-05-02 13:53:00,N,1005,C_031,15-85-SR,U/L,Bob,,Y
CD,2018-05-02 13:53:00,N,1930,C_031,15-85-SR,M/L,Bob,,Y
CD,2018-05-02 14:03:00,N,1005,C_012,15-87-SR,U/L,Bob,,Y
CD,2018-05-02 14:13:00,N,1005,C_012,15-87-SR,U/L,Bob,,Y
CD,2018-05-02 14:13:00,N,1930,C_012,15-87-SR,M/L,Bob,,Y
CD,2018-05-07 14:28:00,N,1005,C_010,15-86-SR,U/L,Bob,,Y
CD,2018-05-09 10:54:00,N,1005,C_031,15-85-SR,U/L,Bob,,Y
CD,2018-05-09 11:02:00,N,1005,C_012,15-87-SR,U/L,Bob,,Y
CD,2018-05-09 11:04:00,N,1005,C_012,15-87-SR,U/L,Bob,,Y
CD,2018-05-09 11:13:00,Y,1005,C_048,15-35-SR,U/L,Bob,,Y
W,2018-05-09 13:05:00,Y,1039,C_033,15-137-SR,U/L,Bob,ND,Y
W,2018-05-09 13:05:00,N,1930,C_033,15-137-SR,M/L,Bob,,Y
W,2018-05-09 14:00:00,Y,1039,C_043,15-8-SR,U/L,Bob,ND,Y
W,2018-05-09 14:00:00,N,1930,C_043,15-8-SR,M/L,Bob,,Y
CD,2018-05-17 15:17:00,N,1005,C_031,15-85-SR,U/L,Bob,,Y
CD,2018-05-17 15:29:00,N,1005,C_012,15-87-SR,U/L,Bob,,Y
CD,2018-05-17 15:42:00,N,1005,C_010,15-86-SR,U/L,Bob,,Y
CD,2018-05-23 13:52:00,N,2943,C_002,1-502-MD,U/L,Bob,,N
CD,2018-05-23 13:52:00,N,2942,C_002,1-502-MD,U/L,Bob,,N
CD,2018-05-23 13:52:00,N,2941,C_002,1-502-MD,U/L,Bob,,N
CD,2018-05-23 13:52:00,N,2944,C_002,1-502-MD,U/L,Bob,,N
CD,2018-05-23 13:52:00,N,1930,C_002,1-502-MD,M/L,Bob,,N
CD,2018-05-23 13:52:00,N,2950,C_002,1-502-MD,U/L,Bob,,N
CD,2018-05-23 13:52:00,N,2943,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-05-23 13:52:00,N,2942,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-05-23 13:52:00,N,2941,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-05-23 13:52:00,N,2944,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-05-23 13:52:00,N,1930,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-05-23 13:52:00,N,2950,C_002,4-12-EP,U/L,Bob,,Y
W,2018-05-23 14:31:00,N,1005,C_041,14-2-EP,U/L,Eddie,,N
CD,2018-05-23 14:31:00,N,1005,C_012,15-87-SR,U/L,Bob,,Y
CD,2018-06-07 10:57:00,Y,2414,C_010,15-86-SR,U/L,Bob,,Y
CD,2018-06-07 10:57:00,N,1005,C_010,15-86-SR,U/L,Bob,,Y
CD,2018-06-07 10:57:00,N,1004,C_010,15-86-SR,M/L,Bob,,Y
W,2018-06-07 10:57:00,N,4109,C_010,15-86-SR,P/L,Eddie,,Y
W,2018-06-07 10:57:00,N,4100,C_010,15-86-SR,P/L,Eddie,,Y
W,2018-06-07 10:57:00,N,4020,C_010,15-86-SR,P/L,Eddie,,Y
W,2018-06-07 10:57:00,N,4030,C_010,15-86-SR,P/L,Eddie,,Y
W,2018-06-07 10:57:00,N,1051,C_010,15-86-SR,P/L,Eddie,,Y
CD,2018-06-07 10:57:00,N,1930,C_010,15-86-SR,M/L,Bob,,Y
W,2018-06-07 10:57:00,N,4102,C_010,15-86-SR,P/L,Eddie,,Y
W,2018-06-07 10:57:00,N,4006,C_010,15-86-SR,P/L,Eddie,,Y
CD,2018-06-07 11:28:00,Y,2986,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2981,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2988,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2985,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2978,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2977,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2977,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2410,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2420,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2414,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2378,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2418,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2980,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2983,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2424,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2412,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2413,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2416,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2277,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1928,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1929,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1021,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,N,1927,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1002,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1074,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1005,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2050,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1010,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2990,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2306,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1075,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2222,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1004,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2993,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2430,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,2943,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,2942,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2214,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1015,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1919,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2982,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1017,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2989,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2216,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,2941,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2210,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1020,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2380,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2228,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1905,C_002,1-502-MD,U,Bob,,N
CD,2018-06-07 11:28:00,N,1064,C_002,1-502-MD,U/C,Bob,,N
CD,2018-06-07 11:28:00,Y,1022,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1024,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2035,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2039,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,2944,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2408,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2212,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2964,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2992,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1025,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2905,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,N,1915,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2246,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1028,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2994,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2051,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1030,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1031,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1032,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2967,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1035,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2247,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2251,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2626,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2248,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2422,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1036,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1040,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1041,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2998,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2965,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2968,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1920,C_002,1-502-MD,T,Bob,,N
CD,2018-06-07 11:28:00,Y,2997,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2966,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2969,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1039,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,C253,C_002,1-502-MD,P,Bob,,N
CD,2018-06-07 11:28:00,Y,2030,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1042,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2428,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1045,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1050,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2037,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1052,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2996,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,N,1055,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,N,1930,C_002,1-502-MD,M/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2426,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2987,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2987,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1085,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2727,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2991,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2979,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2224,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2984,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2218,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2904,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,100,C_002,1-502-MD,N,Bob,,N
CD,2018-06-07 11:28:00,Y,2976,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2963,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2955,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,1095,C_002,1-502-MD,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2977,C_002,4-12-EP,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2987,C_002,4-12-EP,U/L,Bob,,N
CD,2018-06-07 11:28:00,Y,2986,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2981,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2988,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2985,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2978,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2977,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2410,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2420,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2414,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2378,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2418,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2980,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2983,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2424,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2412,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2413,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2416,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2277,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1928,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1929,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1021,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1927,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1002,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1074,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1005,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2050,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1010,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2990,C_002,4-12-EP,U/L,Bob,,Y
