S1,DateTime,N1,AC,PS,TI,U,LN,R2
W,2018-03-22 13:53:00,Y,2920,C_007,15-82-SR,M/L,Eddie,ND
CD,2018-03-26 15:10:00,Y,2414,C_053,15-88-SR,U/L,Eaton,
CD,2018-03-26 15:10:00,Y,1005,C_053,15-88-SR,U/L,Eaton,
W,2018-03-28 14:05:00,N,1005,C_037,15-84-SR,U/L,Eaton,
CD,2018-03-28 14:05:00,Y,1005,C_037,15-84-SR,U/L,Eaton,
W,2018-03-29 12:32:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-03-29 12:32:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-03-29 12:32:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-03-29 12:32:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-03-29 12:32:00,N,2943,C_002,1-502-MD,U/L,Eaton,
CD,2018-03-29 12:32:00,Y,2414,C_002,4-12-EP,U/L,Eaton,
W,2018-03-29 12:40:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-03-29 12:40:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-03-29 12:40:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-03-29 12:40:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-03-29 12:40:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-04-04 10:00:00,N,1930,C_031,15-85-SR,M/L,Eaton,
CD,2018-04-04 10:08:00,N,1005,C_048,15-35-SR,U/L,Eaton,
CD,2018-04-04 10:15:00,N,1005,C_012,15-87-SR,U/L,Eaton,
CD,2018-04-04 13:00:00,Y,1005,C_053,15-88-SR,U/L,Eaton,
W,2018-04-04 13:50:00,N,1930,C_003,4-23-SR,M/L,Eaton,
W,2018-04-05 00:00:00,N,1930,C_043,15-8-SR,M/L,,
CD,2018-04-09 14:40:00,N,1005,C_038,15-91-SR,U/L,Eaton,
CD,2018-04-09 14:43:00,Y,2414,C_038,15-91-SR,U/L,Eaton,
CD,2018-04-09 14:43:00,Y,2414,C_043,15-8-SR,U/L,Eaton,
W,2018-04-18 11:57:00,N,1032,C_003,4-23-SR,U/L,Eaton,
W,2018-04-18 11:57:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-04-18 11:57:00,N,C253,C_003,4-23-SR, ,Eaton,
W,2018-04-18 11:57:00,N,1928,C_003,4-23-SR,M/L,Eaton,
